"Action","Action"
"Actions","Actions"
"Add New Event","Add New Event"
"Add new event","Add new event"
"Allow Everything","Allow Everything"
"Allow creating Customers outside the System","Allow creating Customers outside the System"
"Application Scope","Application Scope"
"Application scope","Application scope"
"Are you sure?","Are you sure?"
"Associate to Website","Associate to Website"
"CSV","CSV"
"Change status","Change status"
"Choose Global","Choose Global"
"Choose Global ","Choose Global "
"City","City"
"Company","Company"
"Conditions","Conditions"
"Configure Customer Conditions","Configure Customer Conditions"
"Content","Content"
"Country","Country"
"Create In","Create In"
"Created At","Created At"
"Created Time","Created Time"
"Current CSV file","Current CSV file"
"Customer Address","Customer Address"
"Customer Attribute","Customer Attribute"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Date Of Birth","Date Of Birth"
"Delete","Delete"
"Delete Event","Delete Event"
"Disabled","Disabled"
"Download Sample CSV File","Download Sample CSV File"
"Download sample CSV file","Download sample CSV file"
"Earn points from event","Earn points from event"
"Earning","Earning"
"Earning Rates","Earning Rates"
"Edit","Edit"
"Edit Event ","Edit Event "
"Effective from","Effective from"
"Effective to","Effective to"
"Email","Email"
"Email template","Email template"
"Enable Plugin","Enable Plugin"
"Enable notification email","Enable notification email"
"Enabled","Enabled"
"End date must be later than Start date!","End date must be later than Start date!"
"End day must be later than Start day","End day must be later than Start day"
"Event Earning","Event Earning"
"Event Information","Event Information"
"Event Manager","Event Manager"
"Event Plugin Configuration","Event Plugin Configuration"
"Event applied for ","Event applied for "
"Event repeated","Event repeated"
"Event was successfully saved","Event was successfully saved"
"Fax","Fax"
"Filter by Websites and Customer Groups","Filter by Websites and Customer Groups"
"Gender","Gender"
"General Information","General Information"
"Gift Points","Gift Points"
"ID","ID"
"If empty, the event will be effective for 1 day.","If empty, the event will be effective for 1 day."
"Import from a CSV file","Import from a CSV file"
"Input CSV","Input CSV"
"Is Running","Is Running"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully deleted","Item was successfully deleted"
"Magestore Extension","Magestore Extension"
"Message","Message"
"Monthly","Monthly"
"NOT LOGGED IN","NOT LOGGED IN"
"No","No"
"None","None"
"Open Chooser","Open Chooser"
"Point Amount","Point Amount"
"Points Amount","Points Amount"
"Points expire after","Points expire after"
"Prefix","Prefix"
"RewardpontEvent Email","RewardpontEvent Email"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Save Event","Save Event"
"Select the end day","Select the end day"
"Select the start day","Select the start day"
"State/Province","State/Province"
"Status","Status"
"Street Address","Street Address"
"Suffix","Suffix"
"Telephone","Telephone"
"Time loop","Time loop"
"Title","Title"
"Unable to find item to save","Unable to find item to save"
"Update Time","Update Time"
"Websites","Websites"
"Week end must be greater week start!","Week end must be greater week start!"
"Weekly","Weekly"
"XML","XML"
"Yearly","Yearly"
"Yes","Yes"
"You have not yet activated the event that you have edited. Please change its status to Enabled if you want to apply the event.","You have not yet activated the event that you have edited. Please change its status to Enabled if you want to apply the event."
