" Point transferring"," Point transferring"
" days if this person does not create an account on your store."," days if this person does not create an account on your store."
". You cannot enter a greater number than this!",". You cannot enter a greater number than this!"
"Account balance is not enough to create this transaction","Account balance is not enough to create this transaction"
"Action","Action"
"Add New Transfer","Add New Transfer"
"All Point Transfers","All Point Transfers"
"All Points Transfer","All Points Transfer"
"Allow Everything","Allow Everything"
"Allow senders to cancel transferring","Allow senders to cancel transferring"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Can not validate email address.","Can not validate email address."
"Cancel","Cancel"
"Canceled","Canceled"
"Canceled as the pending day is over.","Canceled as the pending day is over."
"Cannot complete transfer!","Cannot complete transfer!"
"Cannot send points to your friend","Cannot send points to your friend"
"Cannot validate email address!","Cannot validate email address!"
"Close","Close"
"Comment/Note","Comment/Note"
"Complete","Complete"
"Completed","Completed"
"Create A New Transfer","Create A New Transfer"
"Created On","Created On"
"Customer Group","Customer Group"
"Customer having an account","Customer having an account"
"Customer not having an account","Customer not having an account"
"Customers have to accumulate this amount to transfer points.","Customers have to accumulate this amount to transfer points."
"Data error, please try again!","Data error, please try again!"
"Date Created","Date Created"
"Duplicated email error!","Duplicated email error!"
"Email","Email"
"Email Address","Email Address"
"Enable Plugin","Enable Plugin"
"Enable email sent to recipient having account","Enable email sent to recipient having account"
"Enable email sent to sender and recipient when canceling transfer","Enable email sent to sender and recipient when canceling transfer"
"Error ocur in database.","Error ocur in database."
"Group","Group"
"Hold point transfer for","Hold point transfer for"
"Holding","Holding"
"How to transfer points to friend","How to transfer points to friend"
"ID","ID"
"If empty or zero, Customers are allowed to send unlimited amount of points.","If empty or zero, Customers are allowed to send unlimited amount of points."
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Magestore Extension","Magestore Extension"
"Manage Point Transfers","Manage Point Transfers"
"Max points allowed in a transfer","Max points allowed in a transfer"
"Message","Message"
"Minimum accumulated points","Minimum accumulated points"
"Name","Name"
"No transaction found!","No transaction found!"
"No transaction was canceled","No transaction was canceled"
"No transaction was completed","No transaction was completed"
"POINT RECEIVING HISTORY","POINT RECEIVING HISTORY"
"POINT SENDING HISTORY","POINT SENDING HISTORY"
"Pending","Pending"
"Please enter a valid email address!","Please enter a valid email address!"
"Point Amount","Point Amount"
"Point Amount Transferred","Point Amount Transferred"
"Point Balance","Point Balance"
"Point Transfer","Point Transfer"
"Point transfer was successfully saved!","Point transfer was successfully saved!"
"Point transferring","Point transferring"
"Points","Points"
"Points have been sent to %s successfully!","Points have been sent to %s successfully!"
"Points to Send","Points to Send"
"Receive points from point transfer","Receive points from point transfer"
"Receive points from your friends","Receive points from your friends"
"Recipient","Recipient"
"Refund points from cancel transfer","Refund points from cancel transfer"
"Reward Points","Reward Points"
"Save","Save"
"Save And Continue View","Save And Continue View"
"Select","Select"
"Select Customer","Select Customer"
"Send Point To Friends","Send Point To Friends"
"Sender","Sender"
"Sender is not enought balance to transfer.","Sender is not enought balance to transfer."
"Status","Status"
"Store View","Store View"
"Template of email sent to recipient having account ","Template of email sent to recipient having account "
"Template of email sent to recipient not having account","Template of email sent to recipient not having account"
"Template of email sent when canceling transfer","Template of email sent when canceling transfer"
"The email does not exist on the website! If you continue, a notification email will be sent to that email. This transfer will be canceled after ","The email does not exist on the website! If you continue, a notification email will be sent to that email. This transfer will be canceled after "
"The points on your account must be greater than or equal to %s.","The points on your account must be greater than or equal to %s."
"The sender","The sender"
"The transferred point amount must be greater than 0","The transferred point amount must be greater than 0"
"This email does not exist on this store! A notification email will be sent to that email. This transfer will be canceled after %s if your friend does not create an account on this store.","This email does not exist on this store! A notification email will be sent to that email. This transfer will be canceled after %s if your friend does not create an account on this store."
"This email is correct.","This email is correct."
"Transaction has been canceled successfully.","Transaction has been canceled successfully."
"Transfer","Transfer"
"Transfer Information","Transfer Information"
"Transfer Plugin Configuration","Transfer Plugin Configuration"
"Transfer cancellation","Transfer cancellation"
"Transfer points","Transfer points"
"Transfer points to your friends","Transfer points to your friends"
"Transfer was canceled by admin.","Transfer was canceled by admin."
"Unable to find point transfer to save!","Unable to find point transfer to save!"
"Updated On","Updated On"
"View","View"
"View Transfer","View Transfer"
"While waiting for recipients’ registration, hold points for","While waiting for recipients’ registration, hold points for"
"XML","XML"
"You cannot have permission to cancel transfer!","You cannot have permission to cancel transfer!"
"You cannot transfer more than %s.","You cannot transfer more than %s."
"You cannot transfer points to yourself!","You cannot transfer points to yourself!"
"You do not have the permission to transfer!","You do not have the permission to transfer!"
"Your account does not have enough  points to transfer!","Your account does not have enough  points to transfer!"
"Your account does not have enough points to transfer!","Your account does not have enough points to transfer!"
"Your settings has been updated successfully.","Your settings has been updated successfully."
"day","day"
"day(s). If empty or zero, transfers are completed immediately","day(s). If empty or zero, transfers are completed immediately"
"day(s).If empty or zero, points are held for 30 days.","day(s).If empty or zero, points are held for 30 days."
"days","days"
"Receive email notifying about point transfer","Receive email notifying about point transfer"
"Total Accumulated Points","Total Accumulated Points"
